iteration,nb_cooperators, cooperator_rate, global_welfare
0,300, 1.000000, 600
1,134, 0.446667, 268
2,121, 0.403333, 242
3,107, 0.356667, 214
4,97, 0.323333, 194
5,82, 0.273333, 164
6,56, 0.186667, 112
7,45, 0.150000, 90
8,22, 0.073333, 44
9,23, 0.076667, 46
10,11, 0.036667, 22
11,5, 0.016667, 10
12,7, 0.023333, 14
13,10, 0.033333, 20
14,7, 0.023333, 14
15,6, 0.020000, 12
16,8, 0.026667, 16
17,8, 0.026667, 16
18,5, 0.016667, 10
19,6, 0.020000, 12
20,3, 0.010000, 6
21,3, 0.010000, 6
